keywordId:ID(Keyword),primaryKeyword,searchIntent,customerType[],semanticEquivalents:string[],relatedTerms:string[],longTailVariations:string[],searchVolumeTier,conversionPotential,contentTopics:string[],technicalLevel,:LABEL
kw-asphalt-paving,asphalt paving,transactional,residential;commercial,asphalt installation;asphalt surfacing;hot mix paving;blacktop paving;pavement installation;asphalt work,paving contractor;pavement construction;paving services;asphalt contractor,asphalt paving near me;residential asphalt paving services;commercial asphalt paving contractor;new asphalt paving installation;affordable asphalt paving;quality asphalt paving company;asphalt paving for driveways;asphalt paving for parking lots;professional asphalt paving;licensed asphalt paving contractor,high,high,what-is-asphalt-paving;paving-process;choosing-contractor;cost-guide,basic,Keyword
kw-paving-contractor,paving contractor,transactional,residential;commercial,asphalt contractor;paving company;pavement contractor;asphalt paving company;professional paver;licensed contractor,local paving contractor;paving specialist;certified contractor;reputable paver,paving contractor near me;best paving contractor in [city];licensed asphalt contractor;reputable paving company;experienced paving contractor;local asphalt paving contractor;professional paving services;top rated paving contractor;trusted paving company,high,very-high,choosing-contractor;qualifications;questions-to-ask;contractor-credentials,basic,Keyword
kw-sealcoating,sealcoating,transactional,residential;commercial,seal coating;asphalt sealing;pavement sealing;driveway sealing;asphalt seal coating;surface sealing,asphalt protection;pavement preservation;surface treatment;preventative maintenance,driveway sealcoating cost;parking lot sealcoating services;when to sealcoat asphalt;how often to sealcoat driveway;commercial sealcoating contractor;residential sealcoating near me;asphalt sealcoating and crack sealing;professional sealcoating services;sealcoating for parking lots;driveway seal coating near me,high,high,sealcoating-benefits;maintenance-schedule;cost-guide;application-process,basic,Keyword
kw-asphalt-driveway,asphalt driveway,transactional,residential,blacktop driveway;paved driveway;residential driveway;home driveway;asphalt drive,driveway paving;driveway installation;driveway replacement;residential paving,new asphalt driveway cost;asphalt driveway installation near me;asphalt driveway vs concrete;how long does asphalt driveway last;residential asphalt driveway contractor;asphalt driveway repair and maintenance;replace old driveway with asphalt;asphalt driveway for home;install new asphalt driveway;best asphalt for driveway,high,high,driveway-design;cost-comparison;maintenance-tips;installation-process,basic,Keyword
kw-parking-lot-paving,parking lot paving,transactional,commercial,parking lot construction;parking area paving;commercial parking lot;lot paving;parking lot asphalt,parking lot installation;parking lot repair;parking area resurfacing;commercial paving,commercial parking lot paving cost;parking lot paving contractor near me;new parking lot installation;parking lot resurfacing services;asphalt parking lot maintenance;parking lot striping and paving;small business parking lot paving;church parking lot paving;retail parking lot paving;office parking lot construction,medium,high,parking-lot-design;ada-compliance;maintenance-plans;commercial-services,basic,Keyword
kw-crack-filling,crack filling,transactional,residential;commercial,crack sealing;crack repair;asphalt crack filling;pavement crack repair;crack treatment,driveway crack sealing;preventive crack treatment;crack maintenance;crack sealing services,asphalt crack filling cost;driveway crack sealing near me;when to fill asphalt cracks;parking lot crack sealing services;crack filling and sealcoating;professional crack repair services;prevent asphalt cracks from spreading;how to seal driveway cracks;crack sealing contractor,medium,high,crack-types;prevention;repair-methods;timing,basic,Keyword
kw-pothole-repair,pothole repair,transactional,residential;commercial,pothole patching;pothole filling;hole repair;pavement repair;asphalt patching,surface repair;damage repair;pavement patching;hole filling,driveway pothole repair cost;emergency pothole repair services;parking lot pothole repair;permanent pothole repair;pothole repair near me;fix potholes in asphalt;commercial pothole repair;how to repair potholes;pothole patching services,medium,high,causes-of-potholes;repair-methods;prevention;emergency-service,basic,Keyword
kw-asphalt-repair,asphalt repair,transactional,residential;commercial,asphalt restoration;pavement repair;blacktop repair;driveway repair;surface repair,parking lot repair;patch work;damage repair;pavement restoration,asphalt driveway repair cost;parking lot asphalt repair;emergency asphalt repair services;residential asphalt repair;commercial asphalt repair contractor;fix damaged asphalt;asphalt repair and maintenance;asphalt repair near me;professional asphalt repair,high,high,common-problems;repair-options;cost-guide;when-to-repair-vs-replace,basic,Keyword
kw-patching,asphalt patching,transactional,residential;commercial,pavement patching;patch work;localized repair;spot repair;pothole patching,patch repair;small area repair;quick repair;temporary patching,asphalt patching services;driveway patching cost;parking lot patching;temporary asphalt patch;permanent asphalt patching;asphalt patch repair near me;professional patching services;cold patch vs hot patch,medium,high,patching-methods;materials;temporary-vs-permanent;cost-guide,basic,Keyword
kw-asphalt-resurfacing,asphalt resurfacing,transactional,residential;commercial,asphalt overlay;pavement resurfacing;mill and overlay;surface renewal;repaving,driveway resurfacing;parking lot resurfacing;pavement rehabilitation;surface restoration,asphalt driveway resurfacing cost;parking lot resurfacing services;when to resurface asphalt;resurfacing vs replacement;commercial asphalt resurfacing;residential driveway resurfacing;mill and overlay services;asphalt overlay near me;how much to resurface driveway,medium,high,resurfacing-process;timing;cost-vs-replacement;benefits,basic,Keyword
