serviceId:ID(Service),name,serviceTypes:string[],description,expertiseSignals:string[],regulatoryStandards:string[],seasonalConsiderations,equipmentRequired,typicalDuration,notes,:LABEL
srv-new-asphalt-paving-residential,New Residential Asphalt Paving,residential,"Professional installation of new asphalt driveways and private roads for homeowners. Includes site preparation, proper base installation, and hot mix asphalt placement designed for 10-20 year service life with proper maintenance.",Licensed and insured contractor;15+ years residential paving experience;Proper equipment and skilled operators;Quality materials from certified suppliers,Local building codes;ASTM standards for materials;Proper drainage requirements,Best performed April-October when air temperatures are above 50°F and ground is not frozen. Avoid rainy periods. Warm mix technology can extend season in moderate climates.,"Small to mid-size paver, vibratory compactor or small roller, hand tools, base compaction equipment",1-3 days for typical residential driveway (includes base prep),Typical design is 2-3 inches asphalt over 4-6 inches compacted aggregate base. Price-sensitive market requires customer education on value. Fast return to service (same day) is major selling point.,Service
srv-new-asphalt-paving-commercial,New Commercial Asphalt Paving,commercial,"Complete asphalt paving installation for commercial parking lots, business access drives, and industrial yards. Engineered design based on traffic loads, proper drainage integration, ADA compliance, and long-term performance specifications.",NAPA certified contractor;Commercial project portfolio;Engineering design capability;Quality control procedures in place;Bonding and insurance adequate for large projects,AASHTO design standards;ADA compliance requirements;Local stormwater management regulations;NAPA Quality Improvement Program (QIP) guidelines,Prefer April-October for optimal conditions. Large projects may span multiple seasons with phased construction.,"Commercial-grade tracked or wheeled paver with grade control, pneumatic and vibratory rollers, material transfer vehicle (for larger projects), compaction testing equipment",1-4 weeks depending on size and complexity,"Typical design is 3-5 inches asphalt over 6-10 inches aggregate base for standard parking. Loading dock areas and heavy traffic require 6-8 inches asphalt with higher grade binder. Emphasize proper drainage, ADA compliance, and maintenance plans in proposals.",Service
srv-new-asphalt-paving-municipal,New Municipal Asphalt Paving,municipal,"Construction of new municipal streets, roads, bike paths, and public parking facilities following state DOT specifications and AASHTO design standards. Includes traffic management, utility coordination, and compliance documentation.",Pre-qualified with local agencies;State DOT approved contractor;Experience with public bidding process;Davis-Bacon prevailing wage compliance;Bonding capacity for public work,AASHTO design and construction standards;State DOT specifications;MUTCD traffic control requirements;Davis-Bacon wage requirements;Local public works standards,"Follow agency restrictions on paving season. Typically April-November in northern states, year-round in southern states with warm mix.","Full commercial paving spread with grade control systems, sufficient roller fleet, material transfer vehicles, traffic control equipment",Varies widely by project scope (2 weeks to 6 months),"Formal bid process with lowest responsible bidder typically awarded. More oversight, stricter specifications, extensive documentation required. Payment is reliable but margins are typically lower due to competitive bidding. Traffic management and public coordination critical.",Service
srv-subdivision-paving,Subdivision and Private Road Paving,residential;commercial,"Installation of asphalt streets in residential subdivisions and private road developments. Phased construction to accommodate building traffic, with base installation followed by final surface after home construction complete.",Experience with multi-phase projects;Developer relationships;Understanding of construction traffic impacts,Local subdivision standards;State DOT standards for private roads;Utility coordination requirements,Base work can often be done year-round. Final surface should wait until construction traffic is complete.,Standard commercial paving equipment,Phased over several months to years depending on development,"Typical design 3-4 inches asphalt over 6-8 inches base for residential streets. Consider heavier base construction initially to handle construction traffic, then final surface after homes are built. Payment terms and construction damage liability should be clearly specified in contract.",Service
srv-horse-farm-paving,Horse Farm and Equestrian Facility Paving,residential;specialty,"Specialized asphalt paving for horse farms, riding arenas access roads, stable yards, and equestrian facilities. Designed to handle heavy equipment, manure spreaders, and trailer traffic while providing smooth surfaces safe for horses and easy to maintain.",Experience with agricultural facilities;Understanding of equestrian facility requirements;Knowledge of heavy agricultural equipment loads,Agricultural facility standards;Local building codes;Proper drainage for animal facilities,Standard paving season considerations apply. Plan around farm operations and weather.,Standard paving equipment suitable for rural access,1-5 days depending on scope,"Horse farm paving requires attention to drainage (manure and wash water), durability for heavy equipment, and smooth surfaces. Common applications include stable yards, access roads, parking areas for trailers, and arena perimeters. Farm owners appreciate contractors who understand their unique needs and work around feeding schedules and horse routines.",Service
srv-asphalt-patching-full-depth,Full-Depth Asphalt Patching,residential;commercial;municipal,"Permanent repair of failed asphalt sections using proper removal and replacement techniques. Square-cut removal to sound pavement, tack coat application, hot mix asphalt placement, and proper compaction for long-lasting repairs.",Proper saw-cutting equipment;Hot mix asphalt access;Understanding of failure mechanisms;Quality compaction procedures,ASTM standards for materials;Industry best practices for permanent repairs,Requires hot mix asphalt availability (typically April-November in northern climates). Emergency cold patch available year-round but not permanent.,"Saw cutter or pavement breaker, vibratory plate compactor or hand tamper, tack coat application equipment, hand tools","Small patches 1-4 hours, larger areas 1-2 days","Always cut square or rectangular patches extending at least 6-12 inches beyond visible distress. Remove to stable base, tack coat all vertical faces, compact thoroughly. Emphasize this is permanent repair vs. temporary cold patch.",Service
srv-pothole-repair,Pothole Repair Services,residential;commercial;municipal,"Emergency and permanent pothole repair using hot mix asphalt or temporary cold mix. Proper cleaning, tack coat application, material placement, and compaction to restore surface integrity and eliminate safety hazards.",Rapid response capability;Both hot mix and cold mix options;Proper repair techniques,Safety standards for work zones;Industry best practices,Hot mix repairs preferred but require warm weather. Cold mix available for emergency winter repairs but should be redone with hot mix in spring.,"Compaction equipment, cleaning tools, tack coat application, hot or cold mix materials",30 minutes to 2 hours per pothole,"Potholes are urgent safety issues creating customer liability. Fast response builds relationships. Clean pothole completely, remove loose material, tack coat, fill slightly high, compact thoroughly. Educate customers that cold patch is temporary and needs hot mix follow-up.",Service
srv-surface-patching,Surface Patching (Skin Patching),residential;commercial;municipal,"Shallow asphalt repair for surface-level distress without base failure. Quick repairs for minor surface damage, suitable for temporary or semi-permanent solutions where full-depth repair is not yet needed.",Understanding of when surface vs full-depth is appropriate;Proper surface preparation,Industry best practices,Warm weather required for hot mix,"Lute, plate compactor, tack coat equipment",1-3 hours for small areas,Surface patches address cosmetic issues but don't fix structural problems. Typical life 1-3 years. Be honest with customers about limitations - may fail if underlying structure is compromised. Good interim solution until budget allows full repair.,Service
srv-asphalt-resurfacing,Asphalt Resurfacing (Overlay),residential;commercial;municipal,"Installation of new asphalt layer over existing pavement to restore surface condition and add structural strength. Typically 1.5-4 inches thickness, extends pavement life 10-15 years when existing structure is sound.",Ability to assess existing pavement condition;Understanding of when overlay is appropriate;Proper surface preparation techniques,AASHTO standards for overlay design;ASTM material specifications,April-October optimal. Existing pavement must be dry and structurally sound.,"Commercial paver, roller fleet, tack coat equipment, optional milling equipment",1-5 days depending on size,"Pre-work repairs required - fill cracks, patch failures, ensure drainage works. Tack coat is critical for bond. Results in elevation increase unless combined with milling. Excellent option when base is sound but surface is aged. Cannot overlay over structural failures.",Service
srv-mill-and-overlay,Mill and Overlay,residential;commercial;municipal,"Combined milling (removal) of existing surface layer followed by new asphalt overlay. Maintains existing elevations, removes surface distress, provides fresh wearing surface. Most common rehabilitation technique for aged pavements.",Milling equipment and expertise;Coordination of milling and paving operations;Quality control for thickness and smoothness,AASHTO rehabilitation standards;ASTM material specifications,Requires warm weather for paving operations,"Cold planer/milling machine, commercial paver, roller fleet, material hauling",2-10 days depending on size,"Typical mill 1.5-2 inches and replace with 1.5-2 inches new HMA. Removes surface distress (rutting, cracking, roughness) while maintaining curb/gutter elevations. Milled material (RAP) is valuable and can be recycled. Standard treatment for parking lots and roads at 10-15 year intervals.",Service
