locationId:ID(Location),name,region,state,postalCode,country,geoLatitude:double,geoLongitude:double,population:int,climateZone,economicProfile,localChallenges:string[],flavorNotes,:LABEL
loc-abbotsford-wi,Abbotsford,Clark County,WI,54405,USA,44.9461,-90.3168,2100,humid_continental,"Agriculture, dairy farming, small manufacturing",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;agricultural_heavy_loads,Small rural community in Clark County's dairy country. Short paving season (May-October) requires careful project scheduling. Heavy agricultural equipment traffic demands durable base design.,Location
loc-colby-wi,Colby,Clark County & Marathon County,WI,54421,USA,44.9091,-90.3154,1900,humid_continental,"Agriculture, cheese production, small business",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;moisture_damage,Known as 'The City of Colby Cheese.' Frost depth reaches 4+ feet requiring proper base thickness. Freeze-thaw cycles are primary pavement enemy.,Location
loc-edgar-wi,Edgar,Marathon County,WI,54426,USA,44.9252,-89.958,1500,humid_continental,"Agriculture, lumber, local retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;studded_tires,Small Marathon County community. Winter studded tire usage can cause premature rutting. Requires PG 64-34 or PG 58-40 binders for low-temp performance.,Location
loc-kronenwetter-wi,Kronenwetter,Marathon County,WI,54455,USA,44.8255,-89.5876,7500,humid_continental,"Residential growth, retail, suburban development",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;residential_development,Fast-growing Wausau suburb with new residential and commercial development. High demand for parking lots and driveways. Spring thaw weakening requires careful scheduling.,Location
loc-marshfield-wi,Marshfield,Wood County & Marathon County,WI,54449,USA,44.6688,-90.1718,18900,humid_continental,"Healthcare (Marshfield Clinic), manufacturing, retail, regional hub",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;hospital_traffic;commercial_heavy_use,Regional healthcare hub with Marshfield Clinic bringing significant traffic. High-traffic hospital/clinic areas need polymer-modified binders for durability. Central Wisconsin's largest city.,Location
loc-mosinee-wi,Mosinee,Marathon County,WI,54455,USA,44.793,-89.7043,4100,humid_continental,"Paper mills, regional airport, manufacturing",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_traffic;airport_proximity,Home to Central Wisconsin Airport. Industrial paper mill traffic creates heavy load demands. Airport access roads see frequent winter maintenance.,Location
loc-neillsville-wi,Neillsville,Clark County,WI,54456,USA,44.5597,-90.596,2400,humid_continental,"Agriculture, county seat, local government",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rural_isolation,Clark County seat. Rural location means extended haul distances from asphalt plants. Warm-mix asphalt (WMA) technology extends working window on cooler days.,Location
loc-plover-wi,Plover,Portage County,WI,54467,USA,44.4564,-89.5368,12900,humid_continental,"Retail, residential growth, suburban development",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;retail_traffic;residential_development,Growing Stevens Point suburb with active retail development. Shopping centers and residential subdivisions drive paving demand. Spring moisture issues require excellent drainage design.,Location
loc-spencer-wi,Spencer,Marathon County,WI,54479,USA,44.7511,-90.2968,1900,humid_continental,"Agriculture, small manufacturing, rural services",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;agricultural_traffic,Small Marathon County community along Highway 13. Heavy farm equipment traffic during harvest season requires robust pavement design.,Location
loc-stevens-point-wi,Stevens Point,Portage County,WI,54481,USA,44.5236,-89.5746,26000,humid_continental,"University (UW-Stevens Point), healthcare, manufacturing, retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;university_traffic;commercial_development,University city with significant student traffic and campus parking needs. Municipal contracts for street maintenance. Portage County's largest city.,Location
loc-stratford-wi,Stratford,Marathon County,WI,54484,USA,44.8022,-90.079,1600,humid_continental,"Agriculture, small business, rural community",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;agricultural_loads,Small agricultural community. Short construction season demands efficient project execution. Dairy and agricultural equipment creates unique loading patterns.,Location
loc-wausau-wi,Wausau,Marathon County,WI,54401,USA,44.9591,-89.6301,39300,humid_continental,"Insurance (Employers Insurance), manufacturing, healthcare, retail, regional center",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;urban_heat_island;commercial_traffic,Marathon County seat and regional economic center. Major commercial and industrial paving opportunities. Urban heat island effect in downtown can influence mix design.,Location
loc-weston-wi,Weston,Marathon County,WI,54476,USA,44.8905,-89.549,15100,humid_continental,"Commercial retail hub, suburban residential, office parks",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;retail_traffic;parking_lot_demand,Wausau's primary retail suburb with extensive shopping centers. Heavy parking lot maintenance and new construction market. Big box retail creates high-volume opportunities.,Location
loc-wisconsin-rapids-wi,Wisconsin Rapids,Wood County,WI,54494,USA,44.3836,-89.8173,17700,humid_continental,"Paper industry, manufacturing, county services",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_traffic;paper_mill_loads,Historic paper industry city with heavy industrial traffic. Mill access roads require high-durability designs. Wisconsin River creates moisture management challenges.,Location
loc-madison-wi,Madison,Dane County,WI,53703,USA,43.0731,-89.4012,270000,humid_continental,"State capital, University of Wisconsin, technology, healthcare, biotech, government",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;heavy_traffic;urban_development;isthmus_geography,"State capital and UW-Madison create diverse paving market from state contracts to university projects. Isthmus geography between lakes affects drainage. Strong municipal, commercial, and institutional opportunities.",Location
loc-middleton-wi,Middleton,Dane County,WI,53562,USA,43.0972,-89.5043,21000,humid_continental,"Suburban residential, corporate offices, retail, 'Good Neighbor City'",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;commercial_development;high_end_residential,Affluent Madison suburb with high-quality commercial and residential development. Premium expectations for pavement quality. Strong retail corridor along University Avenue.,Location
loc-sun-prairie-wi,Sun Prairie,Dane County,WI,53590,USA,43.1836,-89.2137,35000,humid_continental,"Manufacturing, residential growth, retail, fastest-growing city in Wisconsin",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rapid_development;new_construction,Wisconsin's fastest-growing city with explosive residential and commercial development. Constant new construction creates strong market. Major manufacturing presence with Spectrum Brands.,Location
loc-fitchburg-wi,Fitchburg,Dane County,WI,53711,USA,42.9608,-89.4698,30000,humid_continental,"Suburban residential, retail, office parks, healthcare",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;commercial_traffic;residential_development,Growing south Madison suburb along Beltline corridor. Mixed commercial and residential development. Major retail and office park construction.,Location
loc-verona-wi,Verona,Dane County,WI,53593,USA,42.9908,-89.5332,14000,humid_continental,"Epic Systems headquarters, residential growth, retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;corporate_campus_traffic;rapid_growth,Home to Epic Systems (healthcare software giant) creating unique corporate campus market. Rapid residential growth to support Epic workforce. High-end commercial development.,Location
loc-monona-wi,Monona,Dane County,WI,53716,USA,43.0594,-89.3318,8100,humid_continental,"Residential, small commercial, bedroom community",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;lakefront_properties,Small residential community between Madison and Monona Lake. Established neighborhoods with maintenance and resurfacing needs. Limited new development space.,Location
loc-waunakee-wi,Waunakee,Dane County,WI,53597,USA,43.1919,-89.4557,15000,humid_continental,"Residential growth, retail, 'Only Waunakee in the World'",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;residential_development;school_traffic,Fast-growing bedroom community with strong schools and family orientation. New subdivision development drives residential paving. Village pride creates quality expectations.,Location
loc-oregon-wi,Oregon,Dane County,WI,53575,USA,42.9247,-89.3848,10500,humid_continental,"Residential, small manufacturing, retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;residential_growth,Growing community south of Madison with residential expansion. Mix of established neighborhoods and new development. Highway 138 corridor development.,Location
loc-deforest-wi,DeForest,Dane County,WI,53532,USA,43.2475,-89.344,10000,humid_continental,"Residential, retail, I-90/94 corridor development",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;highway_development;commercial_growth,North Madison suburb with interstate highway access driving commercial development. Growing residential base. Distribution and warehouse development along I-90/94.,Location
loc-mcfarland-wi,McFarland,Dane County,WI,53558,USA,43.0136,-89.2882,8800,humid_continental,"Residential, small commercial, bedroom community",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;residential_maintenance,Established residential community between Madison and Stoughton. Maintenance and resurfacing market in mature neighborhoods. Limited new development.,Location
loc-stoughton-wi,Stoughton,Dane County,WI,53589,USA,42.9167,-89.2179,13000,humid_continental,"Manufacturing, agriculture, Norwegian heritage tourism",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_traffic,"Historic manufacturing town with strong Norwegian heritage. Mix of industrial, residential, and downtown commercial paving needs. Yahara River location.",Location
loc-cottage-grove-wi,Cottage Grove,Dane County,WI,53527,USA,43.0761,-89.1996,7000,humid_continental,"Residential growth, small commercial",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;residential_development,Growing residential community east of Madison. New subdivision development. Commuter bedroom community with increasing retail.,Location
loc-windsor-wi,Windsor,Dane County,WI,53598,USA,43.2008,-89.3407,7300,humid_continental,"Residential, small retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;new_residential,Small residential community north of Madison. Limited commercial development. Primarily residential maintenance and new subdivision work.,Location
